pl_name,pl_name,t0,period,rstar,rp_rstar,a_rstar,a_rp,b,half_duration,rho_star,T_s,mstar,mass
CoRoT-7 c,CoRoT-7 c,2454445.0,3.698,0.86,,11.501719954471152,380.45673438350383,,,1.96324,5256.0,0.9,0.026430000000000002
CoRoT-8 b,CoRoT-8 b,2454238.9743,6.21229,0.77,0.075,17.593540009408443,231.2776464278668,0.49,0.05708333333333333,2.7,5080.0,0.88,0.22
CoRoT-9 b,CoRoT-9 b,2455365.52723,95.272656,0.96,0.11402000000000001,90.06711436992418,789.3049633450638,0.16,0.17225000000000001,1.51,5625.0,0.96,0.84
CoRoTID 223977153 b,CoRoTID 223977153 b,2455901.811,6.71837,0.79,0.054,19.325674750137825,260.64623645045305,0.4,0.052,1.57283,5970.0,1.08,0.15
DS Tuc A b,DS Tuc A b,2458332.3099700003,8.138268,0.96,0.054189999999999995,,,0.18,0.066175,2.4,5428.0,1.01,1.3
EPIC 201170410.02,EPIC 201170410.02,2456813.1485,6.7987,0.28,0.034,26.802222260364687,785.2545179022962,0.46,,,3648.0,0.29,0.0036
EPIC 201238110 b,EPIC 201238110 b,2456852.6572,28.1656,0.37,0.0458,,,0.24,0.06999999999999999,6.732939999999999,3587.0,0.41,0.0131
EPIC 201497682 b,EPIC 201497682 b,2456850.0263,2.13174,0.55,0.0115,,,0.21,,3.22926,4991.0,0.78,0.00082
EPIC 201615463 c,EPIC 201615463 c,2457621.2227,3.80464,1.6,0.0093,,,0.61,,0.42293000000000003,5942.5,1.07,0.00624
EPIC 201754305 d,EPIC 201754305 d,2456850.4963,2.71578,0.54,0.015,,,0.21,,2.9599599999999997,4761.0,0.67,0.0034
EPIC 201757695.02,EPIC 201757695.02,2456811.637,2.0478,0.66,0.0127,9.64386637552759,764.6710661436348,0.12,,,4520.0,0.73,0.00217
EPIC 201833600 c,EPIC 201833600 c,2456852.6552,3.96151,0.63,0.0168,,,0.4,0.045,2.55179,4292.67,0.61,0.0030600000000000002
EPIC 201841433 b,EPIC 201841433 b,2456811.6359,4.1698,0.63,0.0152,11.94623087058598,787.5045308475751,0.21,0.049999999999999996,2.65207,5053.0,0.8,0.00352
EPIC 205950854 c,EPIC 205950854 c,2456973.7648,8.050722,0.83,0.01258,,,0.064,0.0775,1.2704,5502.7,0.88,0.0071400000000000005
EPIC 206024342 b,EPIC 206024342 b,2456899.1324,4.50756,0.82,0.0147,,,0.7,0.0455,2.3828,5759.0,0.93,0.0111
EPIC 206032309 b,EPIC 206032309 b,2456899.132,2.87814,0.37,0.0405,,,0.26,,9.77858,3489.0,0.22,0.00317
EPIC 206042996 b,EPIC 206042996 b,2456899.1227,5.29711,0.67,0.0294,,,0.26,0.0655,2.9045799999999997,4055.0,0.56,0.0102
EPIC 206215704 b,EPIC 206215704 b,2457010.0005,2.25372,0.37,0.0225,,,0.28,0.020499999999999997,19.879820000000002,3467.0,0.41,0.0021
EPIC 206317286 b,EPIC 206317286 b,2457011.3327,1.58252,0.67,0.0133,,,0.57,0.0365,2.51975,4864.0,0.71,0.00264
EPIC 211822797 b,EPIC 211822797 b,2457165.577,21.169861,0.57,0.03182,49.41967086463464,1548.695350979178,0.31,0.0725,3.87972,4148.21,0.66,0.0144
EPIC 211945201 b,EPIC 211945201 b,2457158.8247700003,19.49221,1.39,0.0379,23.09661931051278,607.8055397646189,0.58,0.08145833333333333,2.253,6069.0,1.17,0.08495
EPIC 212297394 b,EPIC 212297394 b,2457261.4607,2.28943,0.75,0.0162,,,0.45,0.0335,2.5038400000000003,4987.49,0.83,0.00727
EPIC 212424622 b,EPIC 212424622 b,2457263.2616,18.0983,1.22,0.0148,,,0.74,0.09,0.84195,5782.33,1.11,0.0168
EPIC 212499991 b,EPIC 212499991 b,2457280.6254,34.885,0.76,0.0193,,,0.28,,2.8166900000000004,4982.79,0.91,0.01
EPIC 212587672 b,EPIC 212587672 b,2457273.4906,15.2841,0.98,0.0108,,,0.24,0.074,1.8588799999999999,5864.75,0.95,0.0045899999999999995
EPIC 212737443 b,EPIC 212737443 b,2457234.97,13.603,0.67,0.0352,31.452464560766664,887.7323802281755,0.479,0.062,3.19,4684.0,0.69,0.0227
EPIC 212737443 c,EPIC 212737443 c,2457227.79,65.55,0.67,0.0366,89.86418445933334,2441.264045627483,0.567,0.09599999999999999,3.19,4684.0,0.69,0.0242
EPIC 220554210 c,EPIC 220554210 c,2457430.1411,0.70531,1.01,0.0146,,,0.25,0.0355,1.442,5523.0,0.94,0.008790000000000001
EPIC 220674823 b,EPIC 220674823 b,2457393.4371599997,0.571331,0.98,0.0171,2.940235597944223,173.08432916089032,0.42,0.03191666666666666,1.35,5617.0,0.97,0.02429
EPIC 220674823 c,EPIC 220674823 c,2457405.7338900003,13.339079,0.98,0.0256,23.93878386087423,935.627309290252,0.41,0.07164999999999999,1.35,5617.0,0.97,0.01825
